,sentence,intent
0,Read all new emails,44
1,What is the weather now,13
2,Go to the next podcast.,58
3,What New Movies Are Good,55
4,Presentation of the concert with the time of the event,32
5,What is the name of this music,57
6,Are there any news about the presidential election?,22
7,I hear nothing,14
8,Send me links to articles with messages about the protest,22
9,What is the exchange rate of the pound to the US dollar?,10
10,It will rain on Friday.,13
11,Choose the rock playlist of the 90s,45
12,Delete the light,40
13,I have to be on Hawaii for the upcoming event or you can add them,50
14,Make music louder,14
15,These lights are too bright to dark them.,31
16,In this,12
17,Find the most popular store in this area,19
18,What is the alarm for tomorrow?,23
19,Choose the type of meal breakfast lunch dinner,9
20,Remove all of my meetings for today,30
21,What is the time in Moscow?,0
22,Play Jazz,45
23,What is the Wells Fargo Rate,4
24,When the season is on Spartan,9
25,How far is the walk from the cave to the cave?,42
26,I need a new lg washing machine.,26
27,Should I take a parasol today?,13
28,What is the weather today,13
29,Give me the exchange rate for the US dollar.,10
30,How long has Mahatma Gandhi lived?,49
31,Find a gas station nearby.,19
32,What happened to that,22
33,Can you find the latest news from the world from yesterday?,22
34,Check the latest mail.,44
35,Find the Zoo in Warsaw which is open this weekend,6
36,What is jalapenos,9
37,Write this in my favourites.,43
38,What events are planned for this weekend in my neighborhood,6
39,Find a recipe for rice.,9
40,Please start my playlist on YouTube.,45
41,What is the difference between here and there?,38
42,Tell me about the elections.,22
43,Are there new messages in my box?,44
44,What Happens in the World,22
45,It is wind today.,13
46,Olly laughs me,25
47,I want to know how many feet are in a mile.,49
48,Please give me the names of all my letters.,59
49,I need an hour,0
50,Play playlist for exercises,45
51,Create a new contact with this email.,15
52,Is there a new job in accordance with my qualifications?,12
53,Find me the cheap train ticket to Miami,2
54,What is the day and what is the meeting of the ACME in Katowice?,32
55,What is the closest taxi near me?,54
56,Play the last game.,51
57,Remove the meeting scheduled for October 4 at 12 a.m.,30
58,What songs I hear most often?,57
59,Open Green Day,45
60,which is next Saturday.,0
61,What I have to do,59
62,Clean the sofa with a smoker.,34
63,play Michael Jackson from my playlist,45
64,Incorporate Camilla Durchok in Radio in the Salon,36
65,Give me a 12th birthday photo.,50
66,Play all the latest pop songs,45
67,Order me a pizza.,16
68,Is it hot or cold at the court?,13
69,fixed the lunch date for the next Tuesday afternoon with a beat in a hot dog,50
70,What is the album that comes from?,57
71,Create a full list of clothes available on ralph and lauren,59
72,Turn and turn off the knot.,8
73,I want hard rock today.,45
74,Give the right amount of cinnamon to prepare a mixture of Garam Masala.,9
75,Please play the podcast by Karol Paciorek,58
76,Change the next,58
77,The latest iphone,26
78,How much is a hundred thirty six plus a hundred eighty seven,39
79,What is Mount Everest?,49
80,hello olly playlist,45
81,Time in New York,0
82,Define the word weapon.,26
83,Exchange Rate Franks to Dollars,10
84,omium people,49
85,What is the Microwave Kitchen?,49
86,Find Meaning,26
87,Please need nine nine and eight.,36
88,Press for twenty minutes.,46
89,New email,44
90,Order me a train ticket to interlesia,2
91,What is the time in Warsaw?,0
92,I have a meeting on the second afternoon.,32
93,The twenty-two of May is my birthday and I want to know what day is the twenty-third of May.,0
94,Please turn the light on my patio.,40
95,Incorporate another external section,58
96,Play but jazz autrostwa sanah,45
97,Call me for tomorrow.,48
98,Send a request to this company that you want to receive a refund,47
99,Celebrity,12
100,Maneuver on the Road,42
101,The evening,13
102,Day of Training,55
